MarketChannel,Products,Price
Technology Enthusiasts_Online,"Scanner 1, Printer 2, Printer 4",17000
Young Professionals_Retail Stores,"Photocopier A, Laser Printer X, Inkjet Printer Y",10500
Healthcare Sector_Direct Sales,"Scanner 2, Color Laser Printer Z, Photocopier B",11000
Education Institutions_Television,"Fax Machine F, Digital Scanner D, Scanner 3",6700
Small Businesses_Radio,"Printer 4, Photocopier C, Laser Printer W",15300
Corporate Enterprises_Social Media,"Inkjet Printer K, Scanner 4, Color Laser Printer M",12500
Government Organizations_Print Advertising,"Photocopier D, Fax Machine G, Digital Scanner E",8700
Art and Design Community_Email Marketing,"Scanner 5, Printer 6, Photocopier E",18200
Manufacturing Sector_Trade Shows,"Laser Printer R, Inkjet Printer L, Scanner 6",17100
Financial Services_Partnerships,"Color Laser Printer N, Photocopier F, Fax Machine H",17800
Technology Enthusiasts_Print Advertising,"Fax Machine F, Digital Scanner D, Scanner 3",8000
Young Professionals_Social Media,"Inkjet Printer K, Scanner 4, Color Laser Printer M",10500
Healthcare Sector_Retail Stores,"Photocopier A, Laser Printer X, Inkjet Printer Y",12000
Education Institutions_Television,"Fax Machine F, Digital Scanner D, Scanner 3",9000
Small Businesses_Radio,"Printer 4, Photocopier C, Laser Printer W",13800
Corporate Enterprises_Direct Sales,"Scanner 2, Color Laser Printer Z, Photocopier B",12500
Government Organizations_Partnerships,"Color Laser Printer N, Photocopier F, Fax Machine H",14800
Art and Design Community_Email Marketing,"Scanner 5, Printer 6, Photocopier E",16000
Manufacturing Sector_Trade Shows,"Laser Printer R, Inkjet Printer L, Scanner 6",15200
Financial Services_Social Media,"Inkjet Printer K, Scanner 4, Color Laser Printer M",18000
